Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2016","2016","million Kcal","2697295","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2017","2017","million Kcal","2715715","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2018","2018","million Kcal","2604917","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2019","2019","million Kcal","2562077.59","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2807","Rice and products","2020","2020","million Kcal","2676702.75","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2010","2010","g","24766","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2011","2011","g","25186","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2012","2012","g","38403","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2013","2013","g","31248","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2014","2014","g","52935","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2015","2015","g","43111","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","671","Protein supply quantity (g)","F2807","Rice and products","2016","2016","g","51899","I","Imputed value"
